date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:35	209628/209628	---MCZ	200	added ('OK')	application/javascript	etag:%22c4f42fbe8f3d21:0%22	https://www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/js/jquery.themepunch.revolution.merge.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/DesktopModules/DNNGo_LayerGallery/Effects/Effect_01_SliderRevolution3D/js/jquery.themepunch.revolution.merge23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:36	8437/8437	---M-Z	200	added ('OK')	application/javascript	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/js/dnncore.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/js/dnncore23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:38	9207/9207	---M-Z	200	added ('OK')	application/javascript	etag:%220fb658097f9d11:0%22	https://www.allcooper.com/Resources/Search/SearchSkinObjectPreview.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Resources/Search/SearchSkinObjectPreview23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:39	952/952	---M-Z	200	added ('OK')	application/javascript	etag:%22055c88297f9d11:0%22	https://www.allcooper.com/js/dnn.servicesframework.js?cdv=56	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/js/dnn.servicesframework23e0.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:40	6092/6092	---M--	200	added ('OK')	image/png	etag:%22ae59e4c43388d21:0%22	https://www.allcooper.com/Portals/0/Images/logo-3216.png?ver=2017-02-16-100507-517	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/0/Images/logo-32169039.png	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:45	172514/172514	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:43%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/proximity-reader.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/proximity-reader.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:48	173890/173890	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:47%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems/biometric-fingerprint-scanner.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems/biometric-fingerprint-scanner.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:52	173020/173020	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:51%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/video-entry-systems.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/video-entry-systems.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:14:56	173164/173164	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:54%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/video-entry-systems/door-entry-camera.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/video-entry-systems/door-entry-camera.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:00	173148/173148	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:44:58%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/audio-entry-systems.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/audio-entry-systems.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:03	173785/173785	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Nov%202018%2016:45:01%20GMT	https://www.allcooper.com/business-security-systems/access-control-systems/audio-entry-systems/intercom-systems.aspx	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/business-security-systems/access-control-systems/audio-entry-systems/intercom-systems.html	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:06	73352/73352	---M--	200	added ('OK')	image/jpeg	etag:%22a9f92385d0b2d21:0%22	https://www.allcooper.com/Portals/0/LayerGallery/uploads/2017/4/11/Biometric-Security-System.jpg	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/0/LayerGallery/uploads/2017/4/11/Biometric-Security-System.jpg	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:09	45979/45979	---M--	200	added ('OK')	image/jpeg	etag:%22a2c64129bfd21:0%22	https://www.allcooper.com/portals/0/Biometric-Security.jpg	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/portals/0/Biometric-Security.jpg	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
22:15:11	92123/92123	---M-Z	200	added ('OK')	application/javascript	etag:%221c3bc7610ddd31:0%22	https://www.allcooper.com/Portals/_default/skins/allcooper/scripts/script.js	C:/Users/HP/Desktop/IIIT/3rd%20Year/5th%20Sem/Technical%20Communication/Website/TC%20Website/www.allcooper.com/Portals/_default/skins/allcooper/scripts/script.js	(from https://www.allcooper.com/business-security-systems/access-control-systems/biometric-security-systems.aspx)
